Player	Age	Tm	Pos	GP	G	A	PTS	+/-	PIM
Jacob de La Rose	24	STL	LW	34	1	4	5	-1	6
Jacob de La Rose	24	DET	LW	16	1	3	4	3	4
Chase De Leo	24	ANA	C	1	0	0	0	0	0
Jean-Sebastien Dea	25	BUF	C	3	0	0	0	0	0
Anthony DeAngelo	24	NYR	D	68	15	38	53	12	47
Alex DeBrincat	22	CHI	RW	70	18	27	45	-10	15
Jake Debrusk	23	BOS	LW	65	19	16	35	-1	14
Danny DeKeyser	29	DET	D	8	0	4	4	0	4
Michael Del Zotto	29	ANA	D	49	2	13	15	5	14
Dylan DeMelo	26	TOT	D	59	0	10	10	4	37
Dylan DeMelo	26	OTT	D	49	0	10	10	3	31
Dylan DeMelo	26	WPG	D	10	0	0	0	1	6
Jason Demers	31	ARI	D	50	0	11	11	5	25
Travis Dermott	23	TOR	D	56	4	7	11	14	37
Nicolas Deslauriers	28	ANA	LW	59	7	6	13	-1	92
Phillip Di Giuseppe	26	NYR	LW	20	1	3	4	1	2
Thomas Di Pauli	25	PIT	C	2	0	0	0	-3	10
Jason Dickinson	24	DAL	C	65	9	12	21	7	6
Brenden Dillon	29	TOT	D	69	1	13	14	-2	104
Brenden Dillon	29	SJS	D	59	1	13	14	0	83
Brenden Dillon	29	WSH	D	10	0	0	0	-2	21
Christian Djoos	25	TOT	D	11	1	2	3	3	0
Christian Djoos	25	ANA	D	9	1	2	3	2	0
Christian Djoos	25	WSH	D	2	0	0	0	1	0
Noah Dobson	20	NYI	D	34	1	6	7	-1	8
Max Domi	24	MTL	LW	71	17	27	44	-3	35
Ryan Donato	23	MIN	C	62	14	9	23	5	12
Joonas Donskoi	27	COL	RW	65	16	17	33	2	26
Drew Doughty	30	LAK	D	67	7	28	35	-16	36
Nic Dowd	29	WSH	C	56	7	8	15	11	28
Justin Dowling	29	DAL	C	29	3	3	6	-3	8
Leon Draisaitl	24	EDM	C	71	43	67	110	-7	18
Sheldon Dries	25	COL	C	5	0	0	0	-2	0
Jonathan Drouin	24	MTL	LW	27	7	8	15	-6	14
Dillon Dube	21	CGY	C	45	6	10	16	0	6
Pierre-Luc Dubois	21	CBJ	LW	70	18	31	49	-2	49
Matt Duchene	29	NSH	C	66	13	29	42	-4	24
Anthony Duclair	24	OTT	LW	66	23	17	40	-5	18
Mathew Dumba	25	MIN	D	69	6	18	24	-7	41
Gabriel Dumont	29	MIN	C	3	0	0	0	-1	0
Brian Dumoulin	28	PIT	D	28	1	7	8	17	10
Vince Dunn	23	STL	D	71	9	14	23	15	27
Christian Dvorak	23	ARI	C	70	18	20	38	6	12
Ryan Dzingel	27	CAR	C	64	8	21	29	3	30
Cody Eakin	28	TOT	C	49	5	10	15	-3	16
Cody Eakin	28	VEG	C	41	4	6	10	-9	16
Cody Eakin	28	WPG	C	8	1	4	5	6	0
Jordan Eberle	29	NYI	RW	58	16	24	40	1	12
Alexander Edler	33	VAN	D	59	5	28	33	13	62
Joel Edmundson	26	CAR	D	68	7	13	20	7	72
Nikolaj Ehlers	23	WPG	LW	71	25	33	58	14	30
Christoffer Ehn	23	DET	C	54	2	2	4	-21	2
Jack Eichel	23	BUF	C	68	36	42	78	5	34
Aaron Ekblad	23	FLA	D	67	5	36	41	12	26
Mattias Ekholm	29	NSH	D	68	8	25	33	-1	32
Oliver Ekman-Larsson	28	ARI	D	66	9	21	30	-3	38
Lars Eller	30	WSH	C	69	16	23	39	3	48
Ryan Ellis	29	NSH	D	49	8	30	38	16	19
Deryk Engelland	37	VEG	D	49	1	5	6	6	37
Andreas Englund	24	OTT	D	24	0	3	3	-8	12
Pierre Engvall	23	TOR	LW	48	8	7	15	4	6
Tyler Ennis	30	TOT	C	70	16	21	37	-6	20
Tyler Ennis	30	OTT	C	61	14	19	33	-5	16
Tyler Ennis	30	EDM	C	9	2	2	4	-1	4
Jonathan Ericsson	35	DET	D	18	0	0	0	-12	4
Loui Eriksson	34	VAN	LW	49	6	7	13	-2	12
Joel Eriksson Ek	23	MIN	C	62	8	21	29	7	22
Adam Erne	24	DET	LW	56	2	3	5	-24	28
Jake Evans	23	MTL	C	13	2	1	3	1	0
Robby Fabbri	24	TOT	C	61	15	17	32	-33	20
Robby Fabbri	24	DET	C	52	14	17	31	-29	18
Robby Fabbri	24	STL	C	9	1	0	1	-4	2
Dante Fabbro	21	NSH	D	64	5	6	11	-7	38
Radek Faksa	26	DAL	C	66	11	9	20	-6	42
Oscar Fantenberg	28	VAN	D	36	1	5	6	-10	6
Joel Farabee	19	PHI	LW	52	8	13	21	6	39
Jesper Fast	28	NYR	RW	69	12	17	29	16	20
Justin Faulk	27	STL	D	69	5	11	16	-3	32
Taylor Fedun	31	DAL	D	27	2	7	9	3	8
Martin Fehervary	20	WSH	D	6	0	1	1	-2	6
Micheal Ferland	27	VAN	LW	14	1	4	5	-3	7
Mario Ferraro	21	SJS	D	61	2	9	11	-15	30
Kevin Fiala	23	MIN	LW	64	23	31	54	-1	42
Valtteri Filppula	35	DET	C	70	6	15	21	-42	24
Christian Fischer	22	ARI	RW	56	6	3	9	2	16
Cale Fleury	21	MTL	D	41	1	0	1	-4	6
Haydn Fleury	23	CAR	D	45	4	10	14	-2	8
Warren Foegele	23	CAR	LW	68	13	17	30	9	34
Steven Fogarty	26	NYR	C	7	0	0	0	-1	0
Marcus Foligno	28	MIN	LW	59	11	14	25	8	30
Nick Foligno	32	CBJ	LW	67	10	21	31	-3	62
Christian Folin	28	MTL	D	16	1	1	2	-1	13
Derek Forbort	27	TOT	D	20	0	1	1	-5	4
Derek Forbort	27	LAK	D	13	0	1	1	-4	4
Derek Forbort	27	CGY	D	7	0	0	0	-1	0
Filip Forsberg	25	NSH	C	63	21	27	48	-7	29
Liam Foudy	19	CBJ	C	2	0	1	1	1	0
Cam Fowler	28	ANA	D	59	9	20	29	0	20
Adam Fox	21	NYR	D	70	8	34	42	22	32
Trent Frederic	21	BOS	C	2	0	0	0	-1	0
Mark Friedman	24	PHI	D	6	0	1	1	0	2
Martin Frk	26	LAK	RW	17	6	2	8	-1	4
Michael Frolik	31	TOT	LW	57	6	8	14	-12	28
Michael Frolik	31	CGY	LW	38	5	5	10	-10	24
Michael Frolik	31	BUF	LW	19	1	3	4	-2	4
Morgan Frost	20	PHI	C	20	2	5	7	-3	4
Sam Gagner	30	TOT	C	42	6	7	13	-10	12
Sam Gagner	30	EDM	C	36	5	7	12	-9	10
Sam Gagner	30	DET	C	6	1	0	1	-1	2
Alex Galchenyuk	25	TOT	C	59	8	16	24	-5	16
Alex Galchenyuk	25	PIT	C	45	5	12	17	-7	10
Alex Galchenyuk	25	MIN	C	14	3	4	7	2	6
Brendan Gallagher	27	MTL	RW	59	22	21	43	9	29
Dylan Gambrell	23	SJS	C	50	5	6	11	-8	17
